상품명,분류,종류
아스파라거스_봉_호주산,식품,아스파라거스
고당도파프리카(트리벨리)_(봉),식품,파프리카
단단파프리카_대(봉),식품,파프리카
브로콜리(국산)_송이,식품,브로콜리
뿌리손질_새송이버섯_2봉,식품,새송이버섯
애호박_2입(봉),식품,애호박
대파_1KG(봉),식품,대파
깐마늘_(소),식품,마늘
무(국산)_개,식품,무
깻잎_봉,식품,깻잎
노랑옥수수_2입(봉),식품,옥수수
익산_밤고구마_1.5KG(박스),식품,밤고구마
체리(칠레)_400G(팩),식품,체리
프리미엄적포도_GEM(미국)_900G(팩),식품,적포도
프리미엄청포도ENVY(미국)_1.5KG(팩),식품,청포도
Dole_미들랜드바나나_송이,식품,바나나
바나나(필리핀)_송이,식품,바나나
프리미엄바나나_스위티오(필리핀)_송이,식품,바나나
실속플러스사과_3kg(봉),식품,사과
아삭한 엔비(envy) 사과_5-9입(봉),식품,사과
햇 사과(부사)_5-11입(봉),식품,사과
프리미엄_고당도사과_4-6입(봉),식품,사과
미니사과_팩,식품,사과
농협프리미엄_파주참드림_10KG(포),식품,쌀10KG
2019년산_햅쌀_10KG(포),식품,쌀10KG
동진협동_간척지쌀_20KG(포),식품,쌀20KG
세종대왕_추청쌀_20KG(포),식품,쌀20KG
여주농협_대왕님표고시히카리_20KG(포),식품,쌀20KG
돼지목심(멕시코산)_100 g,식품,돼지목심
농협안심한우_우둔(1등급)_100 g,식품,소우둔
농협안심한우_목심(1등급)_100 g,식품,소목심
농협안심한우_앞다리(1등급)_100 g,식품,소앞다리
농협안심한우_사태(1등급)_100 g,식품,소사태
농협안심한우_설도(1등급)_100 g,식품,소설도
냉동닭윗날개(봉)_2 kg(봉),식품,닭윗날개
냉동닭아랫날개(윙)_2 kg(봉),식품,닭아랫날개
친환경황금닭_850 g(마리),식품,닭한마리
닭가슴살 800 g (400 g*2),식품,닭가슴살
동물복지닭안심_450G(팩),식품,닭안심
백두한돈_돼지삼겹살_100 g,식품,돼지삼겹살
백두한돈_돼지앞다리_100 g,식품,돼지앞다리
백두한돈_돼지목심_100 g,식품,돼지목심
백두한돈_돼지갈비_100 g,식품,돼지갈비
CJ아침에베이컨70G,식품,베이컨
재사용봉투_20L,생활용품,봉투
불닭볶음면큰컵105G,식품,컵라면
무파마큰사발,식품,컵라면